,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Avg counts in Cre-,Avg counts in Cre+
Ccl3,1494.800124,-0.873989406,0.241040016,-3.625910001,0.000287946,0.02675464,771.5,3489.6
Gm26917,2357.179416,0.562430585,0.155108435,3.626047711,0.000287792,0.02675464,1984.8,3352
Naa15,380.3641858,0.691152391,0.190580444,3.626565124,0.000287216,0.02675464,386.9,513.8
Spata24,14.70373596,-3.660728908,1.010058771,-3.624273174,0.000289775,0.02675464,2.2,46.9
Mcpt4,31.17531269,5.270956876,1.458467166,3.614038766,0.000301464,0.027651929,25.5,2.4
Zfp36l1,527.4593748,0.857249052,0.237493405,3.609569926,0.000306705,0.027949995,538.6,675.5
Nedd9,805.1043309,-0.698219144,0.193567605,-3.607107418,0.00030963,0.028034454,442.5,1762.5
E030030I06Rik,13.95211712,-3.48841846,0.968218467,-3.602924938,0.000314656,0.028306975,1.4,40.7
Trps1,640.0748264,-0.834557299,0.231746417,-3.601165923,0.000316793,0.02831769,417.1,1434.7
Rasd2,96.2525622,-2.946976622,0.821597826,-3.586884638,0.000334652,0.029724748,11.5,307.9
Pabpc1,2524.554659,0.468392463,0.130721197,3.583140869,0.000339487,0.029964567,2318.4,3774.6
Gm10715,7.001427864,-4.728272926,1.322416201,-3.575480187,0.000349586,0.030137957,0.3,26.2
Itgae,104.7304125,1.916135487,0.535826371,3.576038044,0.000348841,0.030137957,140.1,75.6
Serpina3g,1221.767565,-0.716399801,0.200127705,-3.579713261,0.000343971,0.030137957,715.5,2646.7
Slamf6,221.3069361,1.096946823,0.30682634,3.575139034,0.000350042,0.030137957,193.4,248.1
Apbb1ip,736.8293505,0.633310516,0.177355382,3.570855924,0.000355817,0.030448354,606.1,1042.2
Fbxo17,6.880613787,6.726815518,1.898370565,3.543468089,0.000394901,0.033588133,10.3,0.1
Gm20404,7.801139473,-5.787848049,1.634702973,-3.54061144,0.000399201,0.033749319,0,26
Bzw2,308.5671876,0.955654353,0.270186191,3.537021449,0.000404667,0.03386627,309.5,371.3
Pim2,210.2528932,1.098554412,0.310630033,3.536536372,0.000405411,0.03386627,214.1,235.3
Irgm1,325.1594187,0.677790619,0.192007306,3.530025146,0.00041552,0.034505385,292.4,444.5
Litaf,825.1864248,-0.81506603,0.231040086,-3.527812179,0.000419009,0.034590454,505.4,1891.3
Ablim1,2298.970906,0.3924862,0.11137839,3.52389903,0.000425246,0.034900035,1989.3,3543.3
Cep350,592.2081624,0.734208453,0.209342801,3.507206601,0.000452837,0.036528319,507.1,804.8
Gm1966,678.2197247,0.862629825,0.246044221,3.505995062,0.000454904,0.036528319,578.5,867.8
Hist1h2ae,337.216573,1.188627434,0.339207515,3.504130606,0.000458101,0.036528319,293.9,374.6
Klhl9,145.2446405,1.431984275,0.408581113,3.504773543,0.000456996,0.036528319,140.6,131.7
Tmem241,45.59329016,-2.19346859,0.625738597,-3.505407212,0.000455909,0.036528319,15.7,131.3
Spef2,42.91197913,3.537932158,1.010790463,3.500163772,0.000464972,0.036866795,43,13.8
Gm16303,53.69028661,3.459591839,0.989148141,3.497546723,0.000469558,0.037021255,59.7,18.6
