"Gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"CreN"	"CreP"	"1"	"2"
"269"	"Pdlim1"	108.4651479	1.445050174	0.458848904	3.149294162	0.001636654	0.085385861	126.5	108	0.955553024474518	0.0434044994074842
"270"	"Rassf6"	4.914064563	-4.067904612	1.292208987	-3.148023775	0.001643783	0.0854402	0.3	17.3	0.000201604582076909	1.00015040023972
"271"	"Foxn3"	706.6446596	-0.617888792	0.196576568	-3.143247423	0.001670845	0.086152342	486.2	1509.5	0.000201604581868797	1.00015040023961
"272"	"Gm4668"	6.417974856	-5.505855872	1.752138659	-3.142363102	0.001675901	0.086152342	0	21.9	0.000201604581877568	1.00015040023961
"273"	"Tmsb4x"	35990.44605	-0.291949439	0.092879783	-3.143304493	0.00167052	0.086152342	25135.6	69695.3	0.000201604581868797	1.00015040023961
"274"	"Ubash3b"	755.1677968	-0.664770276	0.211688751	-3.140319322	0.001687638	0.086439079	423.2	1646.8	0.000201604581868797	1.00015040023961
"275"	"Gm13900"	6.160893032	6.567235884	2.101628419	3.124832071	0.001779066	0.090461634	9.2	0.1	0.955551742350388	0.0434039129940136
"276"	"Nfx1"	407.5868479	0.619445598	0.198218592	3.125063053	0.00177767	0.090461634	364.3	570.9	0.000201604581868797	1.00015040023961
"277"	"Ccdc166"	22.31947815	-2.878448471	0.921732395	-3.122867859	0.001790981	0.090738746	6.7	67	0.000201604581868464	1.00015040023961
"278"	"Klf10"	188.7369063	1.164041726	0.373029515	3.120508376	0.001805392	0.091017595	154.8	200	0.000201614072311618	1.00015040252556
"279"	"Sfmbt1"	79.51149815	-1.499800781	0.48072911	-3.119845982	0.001809456	0.091017595	33.7	211.6	0.000201604581868797	1.00015040023961
"280"	"Gm12229"	7.068835189	-4.972130102	1.596692752	-3.114018082	0.001845582	0.092191747	0.2	27.3	0.000201604581871684	1.00015040023961
"281"	"Klra13-ps"	71.02193469	2.427774312	0.779641777	3.113961287	0.001845937	0.092191747	105.1	42.6	0.955553031634665	0.0434045026866524
"282"	"Ppa1"	151.4943934	-0.925551055	0.297804605	-3.107913847	0.00188413	0.093379053	99.2	336.4	0.000201604581868797	1.00015040023961
"283"	"Sh3pxd2a"	33.15967359	3.06248316	0.985657572	3.107045741	0.001889672	0.093379053	50.1	11.6	0.955551789855443	0.0434039346719997
"284"	"Stat4"	693.5905647	0.617256638	0.198566374	3.108565792	0.001879978	0.093379053	584.8	964.4	0.000201604581868797	1.00015040023961
"285"	"Snord8"	7.993158587	4.829459328	1.556907869	3.101955758	0.001922467	0.094666316	8.3	3.6	0.955551741040153	0.0434039123964743
"286"	"Papola"	649.1221507	0.40753536	0.13147254	3.099775518	0.001936674	0.095032439	542.8	992.1	0.000201604581868797	1.00015040023961
"287"	"Sema4a"	981.0292343	-0.351081935	0.11332255	-3.098076536	0.001947811	0.095245931	651.5	1965.8	0.000201604581868797	1.00015040023961
"288"	"Gm4859"	6.703500659	3.055395683	0.987060482	3.095449307	0.00196515	0.095309269	6.7	2.6	0.955551727430689	0.0434039061815865
"289"	"H1fx"	11.30478606	-3.486163448	1.127202432	-3.09275721	0.001983063	0.095309269	2.5	36.2	0.00020160458187013	1.00015040023961
"290"	"mt-Nd4"	7682.086905	0.512565154	0.165661215	3.094056473	0.001974399	0.095309269	8252.4	11365	0.000201604581868797	1.00015040023961
"291"	"Strbp"	197.4930821	1.017782202	0.328921966	3.094296849	0.0019728	0.095309269	183.7	229.4	0.000201614988197651	1.00015040770118
"292"	"Tspan13"	254.0152047	0.622271749	0.20114669	3.093621625	0.001977295	0.095309269	236.5	353.2	0.000201604581868797	1.00015040023961
"293"	"Rpl31-ps21"	7.299469727	3.973962003	1.287545155	3.086464183	0.002025523	0.097017735	12.3	1.5	0.955551742104186	0.0434039128817651
"294"	"Adgrg3"	42.0864563	-2.262405675	0.733829513	-3.083012653	0.002049164	0.097466339	15.2	115.8	0.000201604581868575	1.00015040023961
"295"	"Gjc1"	9.085839129	6.842367962	2.221488996	3.080081861	0.002069437	0.097466339	18.1	0.2	0.955551742443506	0.0434039130364672
"296"	"Ier3"	186.276357	-1.019175853	0.330586343	-3.082933924	0.002049707	0.097466339	114.4	442	0.000201604581868797	1.00015040023961
"297"	"Rapgef6"	1107.130093	0.509738385	0.165496449	3.080056336	0.002069614	0.097466339	943.1	1633.3	0.000201604581868797	1.00015040023961
"298"	"Stard13"	6.524217303	6.950510913	2.255290674	3.081869221	0.002057052	0.097466339	14.3	0	0.955551742431414	0.043403913030955
"299"	"Uck1"	15.18633166	-2.243335332	0.72867535	-3.078648579	0.002079418	0.097600514	4.2	43.7	0.000201604581865245	1.0001504002396
"300"	"Gm9874"	8.324753633	-5.243778565	1.703977341	-3.077375759	0.002088319	0.09769155	0.2	25	0.000201604581873183	1.00015040023961
"301"	"Cd226"	337.8513592	0.694468611	0.226118681	3.071257127	0.002131595	0.099384732	334.4	470.5	0.000201604581868797	1.00015040023961
"302"	"Gem"	334.602699	-0.861413944	0.280768401	-3.068058734	0.002154543	0.09979159	169.2	760.7	0.000201604581868797	1.00015040023961
"303"	"Zfp39"	9.805036147	-3.540682583	1.154031206	-3.068099516	0.002154249	0.09979159	0.9	31.7	0.00020160458187124	1.00015040023961
"304"	"Ermp1"	170.5158061	0.82762778	0.27015244	3.063558416	0.002187215	0.099859108	179.4	225.2	0.000201614824385576	1.0001504075942
"305"	"Klrb1f"	5.322437286	-4.959535683	1.61919589	-3.062962123	0.002191578	0.099859108	7.1	18.8	0.00020160458221874	1.0001504002398
"306"	"Nlk"	200.4317398	0.734188575	0.239644952	3.063651329	0.002186536	0.099859108	181.1	273.4	0.000201604581868797	1.00015040023961
"307"	"Notch1"	197.1667791	0.948231319	0.309280066	3.065930922	0.002169934	0.099859108	173.1	240.8	0.000201604587129922	1.00015040024434
"308"	"Sesn3"	404.0381522	0.733742231	0.239515012	3.063449864	0.002188009	0.099859108	361.9	543	0.000201604581868797	1.00015040023961
"309"	"Gramd1a"	642.8723522	0.474046554	0.155275436	3.052939763	0.002266114	0.101488016	551.4	946.5	0.000201604581868797	1.00015040023961
"310"	"Gramd4"	227.3905883	0.883698854	0.289378732	3.053779554	0.002259781	0.101488016	211.5	288.6	0.000201604581978265	1.00015040023971
"311"	"Ildr1"	107.8734766	-1.2462972	0.408253093	-3.052756297	0.0022675	0.101488016	51.8	270.1	0.000201604581868797	1.00015040023961
"312"	"Itga4"	931.5185158	-0.452208309	0.148150523	-3.052357158	0.002270518	0.101488016	569.5	1890.6	0.000201604581868797	1.00015040023961
"313"	"Malt1"	1375.187597	0.487351472	0.159665349	3.05233086	0.002270717	0.101488016	1162.9	2023	0.000201604581868797	1.00015040023961
"314"	"Rreb1"	101.368071	1.511131637	0.494819462	3.053905016	0.002258836	0.101488016	98	91.2	0.955551607492118	0.0434038515339169
"315"	"Tmem86b"	97.53385639	1.420086442	0.465891523	3.048105348	0.002302892	0.102599312	80.9	100.1	0.000201617392560249	1.00015040390194
"316"	"Tespa1"	187.5051912	1.189792633	0.390519805	3.046689607	0.002313765	0.102757525	187.5	198.1	0.000201615835602742	1.00015040827327
"317"	"Fam210a"	157.079651	0.920877043	0.302985649	3.039342113	0.002370954	0.103118855	139.5	190.6	0.000201607050287544	1.00015040223474
"318"	"Gm13408"	6.251089587	-3.706540842	1.217943718	-3.043277606	0.002340163	0.103118855	0.5	18.1	0.000201604582144632	1.00015040023975
"319"	"Gm14335"	8.36682424	7.007338643	2.305197283	3.039799975	0.002367353	0.103118855	7.5	7.3	0.955551739769537	0.0434039118162281
"320"	"Iqgap2"	459.6517281	0.698877918	0.229935565	3.039451154	0.002370096	0.103118855	407	635.3	0.000201604581868797	1.00015040023961
