"Gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"CreN"	"CreP"	"1"	"2"
"8474"	"Ccnyl1"	24.29049734	-0.695987322	1.250840161	-0.556415875	0.577926589	0.956038416	13.3	54	0.000201604109562326	1.00015039970119
"8475"	"Cdc25a"	96.76903422	-0.237531725	0.426522344	-0.556903356	0.577593462	0.956038416	76.3	191.6	0.000201604581868797	1.00015040023961
"8476"	"Cntrob"	47.37021251	-0.481364932	0.863732255	-0.557308042	0.577316982	0.956038416	41.6	93.3	0.000201604581869408	1.00015040023961
"8477"	"Dtwd1"	19.07672507	0.824804271	1.483242291	0.556081954	0.578154831	0.956038416	18.1	25.1	0.000201648680343169	1.00015041876899
"8478"	"Evi2"	23.05195679	-0.533318145	0.958706287	-0.5562894	0.578013032	0.956038416	17.4	52.9	0.000201604580097825	1.00015040023732
"8479"	"Fbxw5"	64.06795319	0.248570701	0.446720654	0.556434315	0.577913986	0.956038416	58	104.8	0.000201604581878456	1.00015040023961
"8480"	"Gm47826"	31.86838614	0.503222442	0.904311117	0.556470481	0.577889269	0.956038416	26.2	46	0.000201602787913091	1.00015039831524
"8481"	"Inip"	111.727811	-0.198540868	0.356595963	-0.55676701	0.577686626	0.956038416	84.4	208.7	0.000201604581868797	1.00015040023961
"8482"	"Nelfcd"	83.93260522	0.258032502	0.463047412	0.557248557	0.577357618	0.956038416	63.8	144.2	0.00020160458154328	1.00015040023921
"8483"	"Nemp1"	40.48709702	-0.544863535	0.979839395	-0.55607433	0.578160043	0.956038416	28.2	80.2	0.000201604578300818	1.00015040023531
"8484"	"Ranbp1"	370.0074008	0.122289571	0.219532151	0.557046293	0.5774958	0.956038416	335	640.3	0.000201604581868797	1.00015040023961
"8485"	"Scn1b"	7.815426193	-0.725017981	1.300782663	-0.557370575	0.577274265	0.956038416	6.3	17.9	0.000201604720114101	1.00015040002724
"8486"	"Trit1"	47.94896117	0.333914624	0.599000132	0.55745334	0.577217731	0.956038416	48.4	77.7	0.00020160458744739	1.00015040024264
"8487"	"Zfp944"	27.94835848	-0.521579119	0.937026603	-0.556632136	0.577778793	0.956038416	18	59.2	0.000201604538339784	1.00015040018743
"8488"	"Cdk5rap1"	65.1217819	-0.406353622	0.731488453	-0.555516114	0.578541692	0.956164205	51.2	136.1	0.000201604581868797	1.00015040023961
"8489"	"Efcab12"	3.810751469	1.615761072	2.907778715	0.555668512	0.578437486	0.956164205	5.3	7.3	0.00024653980963818	1.00015606222433
"8490"	"Gm13192"	4.099047938	0.616171023	1.108765633	0.555727022	0.578397481	0.956164205	6.1	5.9	0.000448117436151529	1.00016807656368
"8491"	"Ndufb6"	178.667186	-0.174647289	0.314375528	-0.555537162	0.578527298	0.956164205	141.2	336.2	0.000201604581868797	1.00015040023961
"8492"	"Pgrmc1"	124.0946255	-0.245464335	0.441907985	-0.555464811	0.578576773	0.956164205	92.4	243.7	0.000201604581868797	1.00015040023961
"8493"	"Abcf1"	489.2952993	0.121321395	0.218454622	0.555361997	0.578647081	0.956167801	412.8	846.2	0.000201604581868797	1.00015040023961
"8494"	"Fis1"	465.3964757	-0.142081475	0.255929422	-0.555158815	0.578786037	0.956172247	308.6	861	0.000201604581868797	1.00015040023961
"8495"	"Styx"	43.07704891	0.453839602	0.81743506	0.55519958	0.578758156	0.956172247	37.4	64.5	0.000201604348964435	1.00015039995622
"8496"	"Prkaa1"	87.12433226	0.291191194	0.524624707	0.555046665	0.578862742	0.956186408	83.2	134.5	0.000201604581870019	1.00015040023961
"8497"	"4930430F08Rik"	21.96142563	0.583410094	1.054165714	0.553433	0.579966947	0.95634832	25.3	28.4	0.000201882021630517	1.00015053232862
"8498"	"Akap5"	91.29299561	0.27115781	0.489633758	0.553797212	0.579717636	0.95634832	58	148.5	0.000201602410786372	1.00015039812069
"8499"	"Arhgef28"	4.437865965	-1.157891703	2.092284571	-0.553410238	0.57998253	0.95634832	4.7	11.1	0.000201604953703693	1.00015039985549
"8500"	"B230206I08Rik"	34.51798116	0.440926862	0.79753226	0.552863984	0.580356551	0.95634832	27.8	50	0.000201602681063839	1.00015039829311
"8501"	"Cdkl4"	2.08399589	1.620387135	2.926646812	0.553666786	0.57980691	0.95634832	4	7.5	0.000201945370221113	1.00015048532889
"8502"	"Chmp5"	296.3093618	0.181601434	0.328464066	0.552880672	0.580345123	0.95634832	245.7	487.3	0.000201604581868797	1.00015040023961
"8503"	"Flywch2"	10.50671869	-0.968304197	1.750333835	-0.553211152	0.580118832	0.95634832	3.6	25.2	0.000201602537407197	1.00015039821968
"8504"	"Gm4540"	29.3732959	-0.545899758	0.987041596	-0.553066619	0.580217794	0.95634832	28.5	60.1	0.000201604582391768	1.00015040023989
"8505"	"Mcoln1"	75.21582807	0.287148778	0.517595035	0.554774985	0.579048579	0.95634832	54.8	119.3	0.000201604078303719	1.00015039966756
"8506"	"Mtmr7"	33.85637284	-0.495671834	0.894873356	-0.553901656	0.579646152	0.95634832	18	70.9	0.000201603929801009	1.00015039951071
"8507"	"Nkap"	169.7111943	0.141441896	0.255438097	0.553722791	0.579768575	0.95634832	135.9	297.5	0.000201604581868797	1.00015040023961
"8508"	"Pafah1b2"	268.4984128	0.223724388	0.403892261	0.553920959	0.579632941	0.95634832	234.8	447.5	0.000201604581868797	1.00015040023961
"8509"	"Pomp"	627.3572435	0.093949052	0.169607021	0.55392195	0.579632263	0.95634832	510.4	1070.6	0.000201604581868797	1.00015040023961
"8510"	"Rab2b"	2.792780648	1.615521478	2.915699611	0.554076789	0.579526294	0.95634832	7.7	9.8	0.000202123100391693	1.00015050627714
"8511"	"Sema3a"	12.02297739	0.927571499	1.677108516	0.553077806	0.580210133	0.95634832	21.7	14.4	0.955552700170274	0.0434043509426452
"8512"	"Slu7"	300.209985	-0.125422985	0.226542819	-0.553639197	0.579825795	0.95634832	237.2	547.2	0.000201604581868797	1.00015040023961
"8513"	"Snrnp25"	103.3667232	-0.257144961	0.465148159	-0.552823776	0.580384086	0.95634832	92.2	203.3	0.000201604581868797	1.00015040023961
"8514"	"Tbca"	374.5857222	0.112998476	0.204406515	0.552812499	0.580391809	0.95634832	317.5	632.5	0.000201604581868797	1.00015040023961
"8515"	"Tpsab1"	14.10205317	-0.835774752	1.509719187	-0.553596165	0.579855251	0.95634832	9.5	31.6	0.000201604209035255	1.00015039980201
"8516"	"Uba52"	62.53592452	-0.382425167	0.690333504	-0.553971616	0.579598271	0.95634832	55.2	121	0.000201604581868797	1.00015040023961
"8517"	"Zfp281"	175.2219951	0.24943688	0.450177588	0.554085513	0.579520324	0.95634832	169.4	283.9	0.000201604581868797	1.00015040023961
"8518"	"Dhx29"	95.94913742	0.218066734	0.394623647	0.552594188	0.580541323	0.956482381	72.3	158.5	0.000201604581264003	1.00015040023888
"8519"	"Slc4a1ap"	132.3632014	-0.295657662	0.535339696	-0.552280476	0.580756205	0.956724097	92.7	267.1	0.000201604581868797	1.00015040023961
"8520"	"Dusp3"	14.79261219	0.752550021	1.363192617	0.55204966	0.58091433	0.95675997	15.1	21.6	0.000201646857877102	1.00015041890321
"8521"	"Tceal9"	235.5309659	-0.187963097	0.340440905	-0.552116665	0.580868425	0.95675997	183.1	466.1	0.000201604581868797	1.00015040023961
"8522"	"Gm4929"	3.345580576	-0.439021566	0.795787065	-0.551682209	0.581166101	0.957006253	2.2	7.8	0.00020161258496848	1.00015040325805
"8523"	"Relb"	164.8336806	-0.161118695	0.292128908	-0.551532869	0.581268441	0.957006253	129.9	315.5	0.000201604581868797	1.00015040023961
"8524"	"Usp48"	656.0972413	-0.108628949	0.196942383	-0.551577306	0.581237988	0.957006253	534.6	1222.3	0.000201604581868797	1.00015040023961
"8525"	"Gys1"	30.73664788	-0.387696571	0.703177559	-0.551349465	0.581394136	0.957100915	21.5	58.3	0.000201604543840661	1.00015040019389
"8526"	"A930024E05Rik"	156.9926647	0.264395514	0.480811103	0.549894776	0.582391548	0.957313991	108.5	255	0.000201604560831903	1.00015040021433
"8527"	"Arrdc4"	38.28348371	0.494626176	0.898637535	0.55041789	0.582032781	0.957313991	32.9	56.6	0.000201603642187576	1.00015039918934
"8528"	"Cep192"	244.2518633	-0.18880273	0.343519236	-0.549613267	0.582584657	0.957313991	176.3	451.5	0.000201604581868797	1.00015040023961
"8529"	"Cnpy3"	84.18835442	0.231340672	0.420098031	0.550682591	0.581851281	0.957313991	80	135.7	0.000201604581869408	1.00015040023961
"8530"	"Coil"	30.31099072	-0.574847979	1.04519728	-0.54998993	0.582326281	0.957313991	27.5	67.3	0.000201604581900994	1.00015040023962
"8531"	"Foxm1"	37.74356184	0.449570624	0.817485605	0.549943169	0.582358354	0.957313991	28.3	60.2	0.000201602593142391	1.0001503982705
"8532"	"Gm17529"	19.26024381	0.954643992	1.733428474	0.55072592	0.581821573	0.957313991	14.7	21.3	0.000201682117858371	1.00015043089285
"8533"	"Gm24507"	3.895064544	-1.045546246	1.898443663	-0.550738622	0.581812865	0.957313991	2.5	8.9	0.00020160440930117	1.00015039901956
"8534"	"Gm30790"	8.808282711	0.946723157	1.719338085	0.550632343	0.581885733	0.957313991	7.2	11.1	0.000201981221755798	1.0001504903671
"8535"	"Gm49502"	11.35448086	0.630744194	1.147878443	0.549486924	0.582671336	0.957313991	10.8	17.3	0.000201644087761743	1.00015041751499
"8536"	"Gm8420"	2.105349339	-0.756025864	1.376054058	-0.549415816	0.582720122	0.957313991	1.4	4.7	0.000201613832744474	1.00015040273122
"8537"	"Lsm4"	411.5289462	0.108372079	0.197144193	0.549709718	0.58251849	0.957313991	337.9	702.2	0.000201604581868797	1.00015040023961
"8538"	"Ptafr"	17.72841638	-0.900549923	1.637008149	-0.550119389	0.582237489	0.957313991	15.4	37.1	0.000201604576198444	1.00015040022604
"8539"	"Rbm12"	140.5278489	0.186402774	0.338744534	0.55027537	0.582130515	0.957313991	118.9	222.6	0.000201604581868797	1.00015040023961
"8540"	"Rpl31-ps14"	12.98120505	0.627920202	1.140230294	0.550695947	0.581842123	0.957313991	14.5	15.8	0.000203006581658394	1.00015063328796
"8541"	"Sec31a"	279.5441899	-0.138881104	0.252785409	-0.549403166	0.582728802	0.957313991	229.1	533.8	0.000201604581868797	1.00015040023961
"8542"	"Zfp606"	23.63473785	0.629348347	1.145581516	0.549370201	0.58275142	0.957313991	17.6	36.5	0.000201602839515924	1.0001503982688
"8543"	"Znrf1"	346.5575512	0.126723606	0.230584133	0.549576434	0.582609926	0.957313991	257.7	583.5	0.000201604581868797	1.00015040023961
"8544"	"Srrd"	8.990516881	0.717821597	1.30697803	0.54922239	0.582852841	0.957368535	11.3	14.1	0.00020197807198441	1.00015050776063
"8545"	"Fbxo5"	92.3640238	0.271655199	0.494797664	0.549022799	0.582989804	0.95748144	70.3	149.3	0.000201604579638748	1.00015040023692
"8546"	"1190007I07Rik"	43.31010042	0.345275029	0.630490167	0.547629522	0.583946314	0.957531405	34.8	66.2	0.000201603724040766	1.00015039929854
"8547"	"1500015A07Rik"	29.89035528	0.589689044	1.076553688	0.547756281	0.583859262	0.957531405	28.6	44.3	0.000201604881505946	1.00015040001329
"8548"	"Aste1"	35.64695618	-0.543046215	0.991469256	-0.547718662	0.583885096	0.957531405	21.9	73.9	0.000201604522171661	1.00015040016822
"8549"	"BC043934"	15.92047959	0.788258576	1.439523034	0.547583163	0.583978153	0.957531405	11.1	22.1	0.00020160974722544	1.00015040089407
"8550"	"Cetn3"	138.2043734	0.293763558	0.536368331	0.547689975	0.583904797	0.957531405	154	212.2	0.000201604581868797	1.00015040023961
"8551"	"Clcn2"	10.51839602	0.995115951	1.818052128	0.547352816	0.584136365	0.957531405	11.9	16	0.000201797088183353	1.00015046892796
"8552"	"Gm16973"	27.69435656	-0.578470949	1.055394831	-0.548108567	0.583617358	0.957531405	13.2	60.9	0.000201603299805564	1.0001503988938
"8553"	"Gm43566"	4.730258932	0.979203331	1.788965814	0.547357206	0.584133349	0.957531405	5.5	14.8	0.000201616362750179	1.00015040366614
"8554"	"Hacd4"	7.720988097	-1.017178169	1.855335545	-0.548244856	0.583523786	0.957531405	8.1	16.4	0.000201605147262196	1.00015040037018
"8555"	"Kctd17"	86.05512599	-0.342598895	0.625822376	-0.547437912	0.584077915	0.957531405	70.5	170.7	0.000201604581868797	1.00015040023961
"8556"	"Msrb3"	6.308653504	0.942273636	1.718762129	0.548228065	0.583535314	0.957531405	10.6	6.9	0.955550750406969	0.0434034615359072
"8557"	"Mt2"	36.80438259	-0.407455379	0.743003812	-0.548389352	0.583424586	0.957531405	43.8	74.8	0.000201604582328485	1.00015040023986
"8558"	"Myo10"	240.9670205	0.282168612	0.515668643	0.547189782	0.584248356	0.957531405	289.5	377.3	0.000201604581868797	1.00015040023961
"8559"	"Nod2"	8.810740424	1.096395253	2.003551185	0.547225976	0.584223492	0.957531405	5.6	8.7	0.000358586775678738	1.00016423135792
"8560"	"Rnf146"	22.73778592	-0.49790826	0.907742724	-0.548512532	0.583340027	0.957531405	12.8	47.8	0.000201603934191663	1.00015039951508
"8561"	"Timm44"	176.3138841	0.200574595	0.36649111	0.547283657	0.58418387	0.957531405	149	301.8	0.000201604581868797	1.00015040023961
"8562"	"Tom1l2"	41.37130067	-0.318844766	0.582217439	-0.54763864	0.583940052	0.957531405	33.6	77.9	0.000201604581821335	1.00015040023954
"8563"	"Usp30"	48.83856874	-0.380840589	0.694953577	-0.548008675	0.583685946	0.957531405	29.2	97.1	0.000201604521440302	1.00015040016736
"8564"	"2610044O15Rik8"	34.44122057	0.459280775	0.840376611	0.546517798	0.584710057	0.957633295	31.7	49.4	0.000201604569626423	1.0001503999417
"8565"	"Atp10a"	313.7207361	0.138345928	0.25314742	0.546503409	0.584719945	0.957633295	236	526.5	0.000201604581868797	1.00015040023961
"8566"	"Clnk"	10.82296452	0.910733699	1.666369358	0.546537714	0.584696371	0.957633295	12.7	15.5	0.000202007469365217	1.00015050087085
"8567"	"Gm43860"	7.106532501	1.07177851	1.959762173	0.54689213	0.584452843	0.957633295	6.7	10	0.000202133597956289	1.00015050108512
"8568"	"Spry2"	96.30573055	-0.297963013	0.545158026	-0.546562646	0.584679238	0.957633295	56.7	190.3	0.000201604579871617	1.0001504002372
"8569"	"Tmem184c"	87.5390697	0.348143272	0.636862557	0.546653698	0.58461667	0.957633295	65.2	134.3	0.000201604244127962	1.00015039984873
"8570"	"Inpp5k"	195.1310806	-0.14532789	0.266006576	-0.546331947	0.58483778	0.957714517	127.4	355.9	0.000201604581868797	1.00015040023961
"8571"	"Ccar2"	166.1050457	0.217221883	0.398253552	0.545436146	0.585453586	0.957770351	144.8	276.3	0.000201604581868797	1.00015040023961
"8572"	"Eif2ak2"	242.4004046	-0.225693207	0.413482902	-0.545834437	0.585179749	0.957770351	147.8	448.3	0.000201604581866299	1.0001504002396
"8573"	"Epb41l4a"	14.45979295	0.820980437	1.505312048	0.54538887	0.585486094	0.957770351	19	17.6	0.955538304827563	0.0433979883395283
"8574"	"Gm24145"	9.540987141	1.142020355	2.092106228	0.545871113	0.585154536	0.957770351	17.5	9.8	0.955551754147237	0.0434039185031747
"8575"	"Mpp7"	87.20251628	0.315666878	0.578776319	0.545403929	0.585475739	0.957770351	59.5	138.6	0.00020160264817648	1.00015039831911
"8576"	"Rassf3"	93.14854368	0.21877367	0.400993316	0.545579342	0.585355127	0.957770351	80.5	146.5	0.00020160458186852	1.00015040023961
"8577"	"Spef1"	2.201304744	-1.355172938	2.483982871	-0.545564526	0.585365314	0.957770351	1.3	6.3	0.000201603979888831	1.00015039873439
"8578"	"Thap2"	86.01305845	0.412079301	0.755357003	0.545542437	0.585380502	0.957770351	66.9	131.2	0.000201604532094946	1.00015040018002
"8579"	"Zpbp"	5.591474036	-0.998800551	1.83003831	-0.545781225	0.585216331	0.957770351	4.2	13	0.000201603979691767	1.00015039911137
"8580"	"2500004C02Rik"	9.322263634	1.160410659	2.130583811	0.544644455	0.585998074	0.958015929	8.5	10.2	0.955515765211281	0.0433906700428225
"8581"	"Capn2"	405.7133969	0.138665582	0.254557337	0.544732216	0.585937704	0.958015929	341	694.2	0.000201604581868797	1.00015040023961
"8582"	"Drg2"	53.40490039	0.302408624	0.555448662	0.544440278	0.586138535	0.958015929	49.2	83	0.000201604582909409	1.00015040024001
"8583"	"Mtmr1"	180.5107545	-0.15874762	0.291666745	-0.544277408	0.586250591	0.958015929	127.9	341.5	0.000201604581868797	1.00015040023961
"8584"	"Ntpcr"	53.71479118	0.347662791	0.638744364	0.544290973	0.586241258	0.958015929	45.4	78	0.000201604454046878	1.00015040008661
"8585"	"Nuak2"	22.93346748	0.530536859	0.974306303	0.544527791	0.58607833	0.958015929	29.4	34.8	0.000201671092172173	1.00015045168002
"8586"	"Pgm3"	19.16982879	0.615488132	1.130190401	0.544588001	0.586036909	0.958015929	18.7	28.2	0.000201612736314472	1.00015040251062
"8587"	"Scyl1"	101.1472929	0.24725603	0.453658158	0.545027187	0.585734819	0.958015929	88.9	164	0.000201604581868797	1.00015040023961
"8588"	"Uso1"	239.5789632	0.155140864	0.284997945	0.544357833	0.586195256	0.958015929	198.3	392.6	0.000201604581868797	1.00015040023961
"8589"	"Cog1"	45.50384669	-0.40651946	0.747411775	-0.543902938	0.586508267	0.958325419	37.5	96.2	0.000201604581868464	1.00015040023961
"8590"	"Zbtb11os1"	16.41314098	-0.594210502	1.093337056	-0.543483365	0.586797042	0.958685644	10.6	33.8	0.000201604048622239	1.00015039962714
"8591"	"Csf1"	450.6704069	-0.170479455	0.313744047	-0.543371122	0.586874305	0.958700267	308.5	879.3	0.000201604581868797	1.00015040023961
"8592"	"Ccdc69"	115.55845	-0.171206783	0.31547618	-0.542693218	0.587341045	0.958847533	70.6	220.3	0.000201604581483716	1.00015040023914
"8593"	"Gsk3a"	211.772578	0.169740266	0.312801799	0.54264479	0.587374394	0.958847533	164.3	361.8	0.000201604581868797	1.00015040023961
"8594"	"Hacd2"	92.85132285	-0.227445849	0.418859764	-0.543011932	0.587121587	0.958847533	67.4	178.1	0.000201604581868797	1.00015040023961
"8595"	"Ndst1"	100.6930591	-0.195219491	0.359666913	-0.542778566	0.587282273	0.958847533	81.1	187.9	0.000201604581868797	1.00015040023961
"8596"	"Plk2"	89.88110782	-0.335441841	0.617966488	-0.542815585	0.587256782	0.958847533	66.1	165.2	0.000201604581868242	1.00015040023961
"8597"	"Sphk2"	67.77033083	-0.319371519	0.588037799	-0.543113929	0.587051363	0.958847533	52.2	142	0.000201604581868797	1.00015040023961
"8598"	"1700028N14Rik"	9.222400727	-0.899844287	1.658838725	-0.542454353	0.587505545	0.958880099	7.3	19.2	0.000201604118982179	1.00015039951752
"8599"	"Immp1l"	48.53510991	-0.266667988	0.491628747	-0.542417403	0.587530994	0.958880099	32.5	96.1	0.000201604580218229	1.00015040023762
"8600"	"Ankrd28"	78.0268199	-0.241463179	0.446007747	-0.541387858	0.588240274	0.958922733	63.4	149.6	0.000201604581868797	1.00015040023961
"8601"	"Dctn2"	231.8365432	0.166528696	0.307342109	0.54183495	0.587932212	0.958922733	235	384.2	0.000201604581868797	1.00015040023961
"8602"	"Dgkd"	364.6356842	-0.126736489	0.2339301	-0.541770764	0.587976434	0.958922733	276	673.7	0.000201604581868797	1.00015040023961
"8603"	"Gm15191"	7.055785108	-0.550635334	1.016645913	-0.541619582	0.588080599	0.958922733	5.9	17.3	0.000201605244229075	1.0001504004114
"8604"	"Gm44623"	5.81978699	-1.191524394	2.202319043	-0.54103169	0.58848574	0.958922733	1.6	13.3	0.000201602648523258	1.00015039821586
"8605"	"Gm49410"	9.079199468	-1.145582919	2.116839347	-0.541176127	0.588386191	0.958922733	3	23	0.00020160251235829	1.00015039819787
"8606"	"Gm5262"	16.8167185	-0.609232727	1.125117291	-0.541483747	0.588174197	0.958922733	10.4	35.4	0.000201603960784558	1.00015039953843
"8607"	"Msmo1"	79.81979992	-0.28177705	0.52069556	-0.541155086	0.588400692	0.958922733	69.9	153.9	0.000201604581868797	1.00015040023961
"8608"	"Ppan"	106.1580121	-0.205519746	0.379894874	-0.540991101	0.588513717	0.958922733	75.2	199	0.000201604581868575	1.00015040023961
"8609"	"Rchy1"	229.5116967	0.138787706	0.256258213	0.541593201	0.588098776	0.958922733	193.6	384.1	0.000201604581868797	1.00015040023961
"8610"	"Ssh3"	17.02873469	-0.531442869	0.981944313	-0.541214875	0.588359486	0.958922733	7.2	34.2	0.000201602510525201	1.00015039820099
"8611"	"Wdr95"	124.0694096	-0.233412838	0.431132804	-0.541394289	0.588235843	0.958922733	76.5	247.3	0.00020160458186641	1.0001504002396
"8612"	"Zfp11"	12.47176021	0.719975927	1.329324577	0.541610333	0.588086972	0.958922733	9.1	19.5	0.000201612158939435	1.00015040186752
"8613"	"Zfp512b"	40.56986873	0.287827499	0.530865679	0.54218517	0.58769095	0.958922733	36.3	62.6	0.000201604581212267	1.00015040022258
"8614"	"Epha1"	14.32120771	1.059982855	1.961213035	0.540473083	0.588870819	0.959393206	8.7	16	0.000201658754216849	1.00015042235039
"8615"	"Hirip3"	53.50696542	-0.411198716	0.760960313	-0.54036815	0.588943168	0.959399701	38.4	109.6	0.000201604581848092	1.00015040023958
"8616"	"Abca3"	13.42915576	-0.722917043	1.338804399	-0.539972115	0.589216263	0.959621798	9.9	29.9	0.000201604414514833	1.00015040002134
"8617"	"Trabd"	187.2274135	-0.160865156	0.297911009	-0.539977212	0.589212748	0.959621798	130.5	338.4	0.000201604581868797	1.00015040023961
"8618"	"Tmem185a"	27.01617926	-0.53331118	0.988035078	-0.53976948	0.589356017	0.959738031	26	56.7	0.000201604582664772	1.00015040024003
"8619"	"Kif16b"	64.01162627	-0.360610258	0.668446652	-0.539475001	0.589559142	0.959846056	48.8	143.4	0.000201604581868797	1.00015040023961
"8620"	"Pno1"	72.87868956	0.263583607	0.488573539	0.539496281	0.589544462	0.959846056	76.3	127.4	0.000201604581870241	1.00015040023961
"8621"	"Ago1"	172.9919058	0.236255259	0.438856506	0.538342842	0.590340379	0.960059273	120.6	281.3	0.000201604579881443	1.00015040023721
"8622"	"Ensa"	277.6363002	0.116145836	0.215526148	0.538894409	0.589959715	0.960059273	204.4	480.4	0.000201604581868797	1.00015040023961
"8623"	"Hist1h1a"	15.33685116	0.758934406	1.409888695	0.538293844	0.5903742	0.960059273	10.5	20	0.000201615513673203	1.00015040333046
"8624"	"Ldha"	1574.127511	0.082828882	0.153647794	0.539082795	0.589829727	0.960059273	1234.7	2706.8	0.000201604581868797	1.00015040023961
"8625"	"Lxn"	72.93594349	0.324906819	0.60312379	0.538706687	0.590089259	0.960059273	91	107.3	0.000201610260520457	1.00015040453658
"8626"	"Mmadhc"	131.5356023	-0.165959993	0.30823217	-0.538425282	0.590283476	0.960059273	106.5	249.6	0.000201604581868797	1.00015040023961
"8627"	"Sod1"	1013.156212	-0.102865392	0.191039192	-0.538451775	0.59026519	0.960059273	735.8	1840.1	0.000201604581868797	1.00015040023961
"8628"	"Tdp2"	96.64287554	0.239614649	0.444920566	0.538556019	0.590193242	0.960059273	84.8	162.7	0.000201604581868797	1.00015040023961
"8629"	"Txnip"	761.2474203	0.167814217	0.311312196	0.539054426	0.589849301	0.960059273	704.3	1258.4	0.000201604581868797	1.00015040023961
"8630"	"Zfp664"	124.6431561	0.210688153	0.391390764	0.538306399	0.590365535	0.960059273	85.1	203.7	0.000201604390707988	1.00015040001458
"8631"	"Nav2"	6.14945788	1.057810037	1.965543708	0.538176807	0.59045499	0.960079404	25.9	6.2	0.955553025090583	0.0434044996896125
"8632"	"Arfgef1"	550.7585537	0.10878593	0.202273827	0.537815158	0.590704666	0.960096048	423.3	945.3	0.000201604581868797	1.00015040023961
"8633"	"Asnsd1"	137.3851596	0.182673273	0.340000194	0.537274027	0.591078344	0.960096048	96.2	234.6	0.000201604581669401	1.00015040023937
"8634"	"Cfl2"	60.16708685	-0.381272102	0.709397233	-0.537459246	0.590950429	0.960096048	54.3	119.4	0.000201604581868797	1.00015040023961
"8635"	"Cnnm2"	10.73531599	0.984183824	1.829611293	0.537919627	0.590632538	0.960096048	7	12.1	0.000201819518649504	1.00015046466475
"8636"	"Ctdsp1"	141.9830655	-0.210105575	0.391062145	-0.53726902	0.591081801	0.960096048	120.7	267.2	0.000201604581868797	1.00015040023961
"8637"	"Dcp2"	262.1369917	-0.15384479	0.286151354	-0.537634325	0.590829528	0.960096048	197.8	490.1	0.000201604581868797	1.00015040023961
"8638"	"Gm38162"	24.52325281	-0.543509689	1.011677863	-0.537235921	0.591104662	0.960096048	23	50.3	0.000201604584460058	1.00015040024094
"8639"	"Gm45289"	11.79147885	-0.808079968	1.504377315	-0.537152455	0.59116231	0.960096048	11.7	29.7	0.00020160462326102	1.0001504002579
"8640"	"Ipcef1"	446.712586	0.112650345	0.209612594	0.537421643	0.590976397	0.960096048	327	774.4	0.000201604581868797	1.00015040023961
"8641"	"Prrg2"	14.43610474	0.786093511	1.463745418	0.537042508	0.591238252	0.960096048	13	17.7	0.000201778940187469	1.00015046257135
"8642"	"Rnf2"	82.05297333	-0.240419763	0.447322296	-0.537464296	0.590946941	0.960096048	57	160.6	0.000201604581867298	1.0001504002396
"8643"	"Tnfrsf13b"	35.78405831	0.414163555	0.77143516	0.536874097	0.591354585	0.960096048	38.7	49.7	0.000201609483505671	1.00015040368113
"8644"	"Zc3h12b"	15.93453493	0.772468775	1.438738488	0.536907006	0.591331851	0.960096048	26.3	22.9	0.955513951150313	0.0433932130844987
"8645"	"Nudt14"	38.69330342	-0.363150725	0.676793023	-0.536575751	0.591560698	0.960319587	32.1	80.2	0.00020160458186641	1.0001504002396
"8646"	"Ccdc184"	13.87239853	0.658520351	1.229872707	0.535437812	0.59234715	0.960326424	15.1	17.1	0.000202343259806892	1.00015053117226
"8647"	"Cd81"	87.19369822	0.412848629	0.771026586	0.53545317	0.592336532	0.960326424	122	115.4	0.000201715334907759	1.00015047654529
"8648"	"Dab2ip"	9.028798996	-0.668809084	1.248127726	-0.535849874	0.59206231	0.960326424	6	19.5	0.000201603868580702	1.0001503992552
"8649"	"Fggy"	4.676649418	1.189364227	2.222061846	0.535252531	0.592475246	0.960326424	7.8	4.7	0.955550518575836	0.0434033563659985
"8650"	"Gm15843"	16.97304588	-0.463913077	0.86524115	-0.536166221	0.591843677	0.960326424	10.7	34.7	0.000201604046658144	1.00015039962474
"8651"	"Gm2629"	15.27963624	-0.921386426	1.719591898	-0.535816915	0.592085091	0.960326424	14.6	35.9	0.000201604589619375	1.00015040024151
"8652"	"Gm45292"	5.730995658	-0.979196493	1.829645943	-0.535183595	0.592522909	0.960326424	4.4	14	0.000201603972500353	1.00015039919523
"8653"	"Gmfb"	364.192468	-0.132686131	0.247342671	-0.536446582	0.591649945	0.960326424	286.2	670.7	0.000201604581868797	1.00015040023961
"8654"	"Pacsin2"	125.7291266	0.266583598	0.497632142	0.535704139	0.592163043	0.960326424	103.9	204.8	0.000201604581868797	1.00015040023961
"8655"	"Platr25"	36.54292225	0.414168325	0.772320128	0.536265092	0.591775353	0.960326424	32.9	54.3	0.000201604456816273	1.00015040001028
"8656"	"Senp2"	281.7273739	0.11115424	0.20764707	0.535303678	0.592439883	0.960326424	205.8	476.2	0.000201604581868797	1.00015040023961
"8657"	"Tiparp"	238.4340715	0.201833644	0.37684114	0.535593444	0.592239561	0.960326424	176.5	397.6	0.000201604581868797	1.00015040023961
"8658"	"Tmem120b"	18.73265345	-0.492674654	0.920433965	-0.535263444	0.592467701	0.960326424	13.9	38.7	0.000201604531731125	1.00015040017307
"8659"	"Zscan20"	19.32973224	0.593283901	1.106116531	0.536366544	0.591705249	0.960326424	15	26.2	0.000201608753551741	1.00015040050223
